action_id,origin,label,mode,target,receiver,timeout_profile,return_after_error,session_resume
AU01.A1,AU01,Continuar con Google,navigate,AU02,,AUTH,AU01,AU01
AU01.A2,AU01,Reintentar acceso,stay,AU01,,AUTH,AU01,AU01
AU01.A3,AU01,Ver ayuda,navigate,AU06,,READ,AU01,AU01
AU02.A1,AU02,Entrar al comercio,role-home,AD01,,READ,AU02,AU02
AU02.A2,AU02,Abrir CRM Maestro,navigate,SU01,,READ,AU02,AU02
AU02.A3,AU02,Cambiar cuenta,navigate,AU01,,AUTH,AU02,AU02
AU03.A1,AU03,Continuar sesión,resume,AU03,,AUTH,AU03,AU03
AU03.A2,AU03,Verificar identidad,resume,AU03,,AUTH,AU03,AU03
AU03.A3,AU03,Cerrar sesión,navigate,AU01,,AUTH,AU03,AU03
AU04.A1,AU04,Reintentar lectura,resume,AU04,,READ,AU04,AU04
AU04.A2,AU04,Volver al inicio,safe-home,AU02,,READ,AU04,AU04
AU04.A3,AU04,Contactar soporte,navigate,AU06,,MSG,AU04,AU04
AU05.A1,AU05,Recuperar borrador,resume,AU05,,READ,AU05,AU05
AU05.A2,AU05,Comparar versiones,stay,AU05,,READ,AU05,AU05
AU05.A3,AU05,Descartar copia,safe-home,AU02,,LOCAL,AU05,AU05
AU06.A1,AU06,Abrir notificación,notification,CL19,,READ,AU06,AU06
AU06.A2,AU06,Activar avisos,stay,AU06,,LOCAL,AU06,AU06
AU06.A3,AU06,Actualizar aplicación,stay,AU06,,LOCAL,AU06,AU06
SU01.A1,SU01,Abrir comercios,navigate,SU02,,READ,SU01,SU01
SU01.A2,SU01,Revisar renovaciones,navigate,SU07,,READ,SU01,SU01
SU01.A3,SU01,Ver incidente,navigate,SU14,,READ,SU01,SU01
SU02.A1,SU02,Crear comercio,navigate,SU03,,READ,SU02,SU02
SU02.A2,SU02,Abrir Tecno Cell,navigate,SU04,,READ,SU02,SU02
SU02.A3,SU02,Exportar listado,navigate,SU20,,DOC,SU02,SU02
SU03.A1,SU03,Validar URL,stay,SU03,,READ,SU03,SU03
SU03.A2,SU03,Guardar borrador,stay,SU03,,WRITE,SU03,SU03
SU03.A3,SU03,Crear comercio,navigate,SU04,,WRITE,SU03,SU03
SU04.A1,SU04,Entrar al CRM,navigate,SU05,,READ,SU04,SU04
SU04.A2,SU04,Editar comercio,navigate,SU19,,READ,SU04,SU04
SU04.A3,SU04,Gestionar suscripción,navigate,SU18,,READ,SU04,SU04
SU05.A1,SU05,Confirmar identidad,navigate,AU03,,AUTH,SU05,SU05
SU05.A2,SU05,Entrar con control total,control,AD01,,WRITE,SU05,SU05
SU05.A3,SU05,Salir del comercio,exit-control,SU04,,LOCAL,SU05,SU05
SU06.A1,SU06,Crear plan,navigate,SU16,,READ,SU06,SU06
SU06.A2,SU06,Editar Básico,navigate,SU16,,READ,SU06,SU06
SU06.A3,SU06,Archivar plan,stay,SU06,,WRITE,SU06,SU06
SU07.A1,SU07,Abrir suscripción,navigate,SU18,,READ,SU07,SU07
SU07.A2,SU07,Filtrar vencidas,stay,SU07,,READ,SU07,SU07
SU07.A3,SU07,Exportar cartera SaaS,navigate,SU20,,DOC,SU07,SU07
SU08.A1,SU08,Abrir cargo SaaS,navigate,SU17,,READ,SU08,SU08
SU08.A2,SU08,Conciliar pago,navigate,SU17,,FIN,SU08,SU08
SU08.A3,SU08,Registrar cortesía,navigate,SU18,,WRITE,SU08,SU08
SU09.A1,SU09,Comprobar disponibilidad,stay,SU09,,READ,SU09,SU09
SU09.A2,SU09,Guardar URL,navigate,SU04,,WRITE,SU09,SU09
SU09.A3,SU09,Verificar dominio,job,SU09,,DOC,SU09,SU09
SU10.A1,SU10,Invitar usuario,stay,SU10,,WRITE,SU10,SU10
SU10.A2,SU10,Guardar roles,stay,SU10,,WRITE,SU10,SU10
SU10.A3,SU10,Revocar sesiones,stay,SU10,,WRITE,SU10,SU10
SU11.A1,SU11,Probar conexión,stay,SU11,,READ,SU11,SU11
SU11.A2,SU11,Actualizar secreto,stay,SU11,,WRITE,SU11,SU11
SU11.A3,SU11,Desactivar integración,stay,SU11,,WRITE,SU11,SU11
SU12.A1,SU12,Previsualizar,stay,SU12,,READ,SU12,SU12
SU12.A2,SU12,Publicar plantilla,stay,SU12,,WRITE,SU12,SU12
SU12.A3,SU12,Abrir prueba en WhatsApp,external,SU12,,LOCAL,SU12,SU12
SU13.A1,SU13,Ver evento,stay,SU13,,READ,SU13,SU13
SU13.A2,SU13,Filtrar por comercio,stay,SU13,,READ,SU13,SU13
SU13.A3,SU13,Exportar evidencia,navigate,SU20,,DOC,SU13,SU13
SU14.A1,SU14,Abrir caso,stay,SU14,,READ,SU14,SU14
SU14.A2,SU14,Enviar respuesta,stay,SU14,,MSG,SU14,SU14
SU14.A3,SU14,Cerrar caso,stay,SU14,,WRITE,SU14,SU14
SU15.A1,SU15,Guardar política,stay,SU15,,WRITE,SU15,SU15
SU15.A2,SU15,Ver impacto,stay,SU15,,READ,SU15,SU15
SU15.A3,SU15,Restaurar versión,stay,SU15,,WRITE,SU15,SU15
SU16.A1,SU16,Guardar borrador,stay,SU16,,WRITE,SU16,SU16
SU16.A2,SU16,Publicar versión,navigate,SU06,,WRITE,SU16,SU16
SU16.A3,SU16,Cancelar cambios,navigate,SU06,,LOCAL,SU16,SU16
SU17.A1,SU17,Confirmar conciliacion,navigate,SU18,,FIN,SU17,SU17
SU17.A2,SU17,Rechazar reporte,stay,SU17,,FIN,SU17,SU17
SU17.A3,SU17,Ver movimientos,navigate,SU08,,READ,SU17,SU17
SU18.A1,SU18,Suspender servicio,stay,SU18,,WRITE,SU18,SU18
SU18.A2,SU18,Reactivar por cortesía,stay,SU18,,WRITE,SU18,SU18
SU18.A3,SU18,Abrir pago SaaS,navigate,SU17,,READ,SU18,SU18
SU19.A1,SU19,Guardar comercio,navigate,SU04,,WRITE,SU19,SU19
SU19.A2,SU19,Gestionar URL,navigate,SU09,,READ,SU19,SU19
SU19.A3,SU19,Cancelar edicion,navigate,SU04,,LOCAL,SU19,SU19
SU20.A1,SU20,Aplicar período,stay,SU20,,READ,SU20,SU20
SU20.A2,SU20,Solicitar exportacion,job,SU20,,DOC,SU20,SU20
SU20.A3,SU20,Descargar resultado,document-local,SU20,,DOC,SU20,SU20
AD01.A1,AD01,Abrir pendientes,navigate,AD02,,READ,AD01,AD01
AD01.A2,AD01,Crear orden,navigate,AD03,,READ,AD01,AD01
AD01.A3,AD01,Nueva venta,navigate,AD17,,READ,AD01,AD01
AD02.A1,AD02,Abrir OT-000154,navigate,AD04,,READ,AD02,AD02
AD02.A2,AD02,Crear orden,navigate,AD03,,READ,AD02,AD02
AD02.A3,AD02,Exportar bandeja,navigate,AD22,,DOC,AD02,AD02
AD03.A1,AD03,Buscar cliente,navigate,AD12,,READ,AD03,AD03
AD03.A2,AD03,Guardar borrador,stay,AD03,,WRITE,AD03,AD03
AD03.A3,AD03,Crear orden,navigate,AD04,,WRITE,AD03,AD03
AD04.A1,AD04,Editar diagnóstico,navigate,AD06,,READ,AD04,AD04
AD04.A2,AD04,Registrar pago,navigate,AD11,,READ,AD04,AD04
AD04.A3,AD04,Preparar entrega,navigate,AD35,,READ,AD04,AD04
AD05.A1,AD05,Cargar evidencia,shared,TE12,,UPLOAD,AD05,AD05
AD05.A2,AD05,Guardar borrador,stay,AD05,,WRITE,AD05,AD05
AD05.A3,AD05,Confirmar recepción,navigate,AD04,,WRITE,AD05,AD05
AD05.A4,AD05,Ver voucher de recepción,shared,VR01,,DOC,AD05,AD05
AD06.A1,AD06,Guardar diagnóstico,stay,AD06,,WRITE,AD06,AD06
AD06.A2,AD06,Preparar cotización,navigate,AD07,,READ,AD06,AD06
AD06.A3,AD06,Marcar no reparable,navigate,AD36,,WRITE,AD06,AD06
AD07.A1,AD07,Guardar cotización,stay,AD07,,WRITE,AD07,AD07
AD07.A2,AD07,Enviar al cliente,navigate,AD08,,WRITE,AD07,AD07
AD07.A3,AD07,Previsualizar PDF,navigate,AD32,,DOC,AD07,AD07
AD08.A1,AD08,Abrir recordatorio,external,AD08,,LOCAL,AD08,AD08
AD08.A2,AD08,Ver evidencia,stay,AD08,,READ,AD08,AD08
